AssetID,AssetType,AssetName
1,Stock,Thomas-Griffin
2,Bond,"Harris, Moreno and Wang"
3,Derivative,Jenkins-Lamb
4,Stock,"Hardy, Lee and Sanchez"
5,Derivative,Green Inc
6,Commodity,"Bush, White and Ramsey"
7,Derivative,"Smith, Thomas and Vargas"
8,Commodity,Hall-Cooke
9,Bond,"Dyer, Brown and Woods"
10,Derivative,Dominguez-Miller
11,Stock,"Mcdonald, Garcia and Lindsey"
12,Stock,"Howell, Kennedy and Green"
13,Bond,Campbell LLC
14,Bond,"Bird, Morris and Walker"
15,Commodity,Graves-Fisher
16,Derivative,Kelley and Sons
17,Bond,Lewis-Harrington
18,Commodity,"Mason, Acosta and Farmer"
19,Commodity,Holmes-Leon
20,Bond,"Wood, Perez and Adams"
21,Derivative,"Harris, Rice and Davis"
22,Stock,Williams and Sons
23,Commodity,"Molina, Baxter and Garcia"
24,Commodity,Conway Inc
25,Stock,"Allen, Ritter and Barton"
26,Commodity,"Vincent, Fisher and Hall"
27,Derivative,Golden-Serrano
28,Stock,Abbott Group
29,Stock,"Strickland, Gray and Butler"
30,Commodity,Huber-Garcia
31,Commodity,Taylor-Peterson
32,Stock,Ford LLC
33,Stock,"Gomez, Lee and Saunders"
34,Commodity,"Lopez, Cook and Moore"
35,Derivative,Brown-Mason
36,Bond,"Harris, Scott and Oconnell"
37,Stock,"Clark, Garcia and Gutierrez"
38,Stock,Valdez Group
39,Bond,Mccarthy-Hall
40,Derivative,Miles Inc
41,Derivative,Moore-Morris
42,Stock,Lee-Haynes
43,Derivative,Lucas and Sons
44,Stock,"Frye, Nolan and Dickson"
45,Commodity,"Brown, Duke and Graham"
46,Commodity,"Hodges, Dickerson and Barnes"
47,Bond,"Bautista, Thompson and Rojas"
48,Stock,Owens-Nelson
49,Derivative,"Williams, Bishop and Arnold"
50,Stock,Benjamin-Beck
51,Commodity,Good-Pena
52,Derivative,Evans-Gould
53,Bond,Malone Inc
54,Commodity,Ford-Nguyen
55,Stock,Lang Inc
56,Stock,Rodriguez-Manning
57,Stock,Gomez Group
58,Commodity,Ferguson Inc
59,Bond,"Frye, Brown and Dudley"
60,Commodity,Pennington Inc
61,Bond,Reese-Morris
62,Commodity,Thomas Group
63,Bond,Sandoval-Munoz
64,Derivative,Campbell PLC
65,Derivative,Buckley Inc
66,Bond,"Sanders, Mann and Reed"
67,Commodity,"Phillips, Kirby and Hall"
68,Commodity,Bishop-Richards
69,Bond,Johnston Ltd
70,Bond,Gardner and Sons
71,Derivative,Ramos Ltd
72,Bond,"Hall, Hahn and Carlson"
73,Bond,"Smith, Foster and Ellis"
74,Stock,Sexton Group
75,Commodity,Wilson-Warner
76,Stock,"Evans, Mcpherson and Payne"
77,Commodity,Lamb-Hudson
78,Stock,Gonzalez-Norton
79,Bond,Ware-Fry
80,Stock,Murphy PLC
81,Stock,Frazier LLC
82,Stock,Harris-Shepard
83,Bond,Dorsey-Taylor
84,Commodity,Lowery-Spencer
85,Stock,"Nunez, Obrien and Pham"
86,Bond,Larsen and Sons
87,Bond,Johnson-Chandler
88,Commodity,Gaines-Keller
89,Stock,Graham-Peterson
90,Stock,"Hines, Carrillo and Luna"
91,Commodity,Burns Group
92,Bond,Hampton Inc
93,Commodity,Brady-Guerra
94,Derivative,"Smith, Morgan and Duncan"
95,Stock,Hoover Group
96,Stock,Smith PLC
97,Stock,"Patterson, Williams and Munoz"
98,Bond,Sexton-Benton
99,Commodity,"Deleon, Lopez and Mcdowell"
100,Commodity,"Roberts, Thomas and Hayden"
