TransactionID,InvestmentID,Type,Quantity,TransactionDate
1,994,Sell,8,2019-10-02
2,1076,Buy,54,2022-10-09
3,756,Sell,90,2021-03-03
4,1810,Sell,34,2024-03-28
5,651,Buy,99,2023-01-22
6,1610,Sell,93,2024-02-12
7,513,Buy,32,2020-06-19
8,1954,Buy,81,2024-01-05
9,453,Buy,21,2021-09-27
10,192,Buy,63,2019-05-25
11,131,Buy,27,2019-08-03
12,1367,Sell,91,2021-07-01
13,903,Sell,87,2021-12-06
14,285,Buy,86,2023-12-10
15,244,Buy,4,2022-10-04
16,1557,Buy,50,2019-07-01
17,107,Sell,13,2020-06-18
18,231,Sell,73,2023-04-21
19,1392,Sell,73,2023-05-13
20,439,Sell,36,2021-06-09
21,1633,Buy,44,2023-10-21
22,301,Sell,63,2020-12-31
23,1720,Buy,51,2020-09-14
24,969,Buy,41,2021-06-22
25,1032,Buy,14,2024-01-13
26,25,Sell,75,2019-12-08
27,478,Sell,15,2020-03-23
28,1004,Sell,40,2023-10-16
29,1574,Sell,56,2023-09-20
30,275,Sell,85,2021-11-21
31,861,Buy,50,2020-07-21
32,1121,Buy,96,2021-02-05
33,81,Sell,57,2022-05-01
34,1899,Buy,57,2023-06-16
35,1669,Buy,2,2020-03-24
36,1959,Sell,11,2019-08-15
37,1137,Sell,20,2022-10-22
38,1555,Buy,62,2023-06-13
39,108,Sell,95,2024-01-08
40,1831,Buy,11,2020-04-21
41,39,Sell,73,2021-04-27
42,571,Sell,12,2024-03-27
43,50,Sell,10,2020-06-11
44,384,Sell,74,2020-11-16
45,1700,Sell,80,2021-04-30
46,859,Buy,3,2023-07-22
47,1307,Buy,15,2022-07-05
48,402,Sell,97,2019-05-30
49,367,Buy,51,2019-12-21
50,877,Sell,76,2020-11-23
51,1851,Sell,1,2021-06-09
52,1865,Buy,43,2022-03-24
53,1574,Sell,46,2020-12-07
54,1398,Sell,83,2020-06-04
55,599,Buy,6,2022-03-27
56,902,Buy,66,2022-12-21
57,1890,Sell,92,2022-05-28
58,1661,Buy,71,2022-04-11
59,1631,Sell,6,2019-10-16
60,1065,Sell,69,2019-07-21
61,743,Buy,66,2019-10-30
62,1413,Buy,14,2023-12-18
63,411,Sell,99,2020-10-09
64,1532,Sell,71,2023-04-07
65,25,Buy,13,2022-08-19
66,313,Buy,13,2020-09-06
67,1368,Sell,50,2022-03-02
68,1244,Buy,83,2019-08-26
69,2,Buy,99,2021-11-25
70,300,Buy,9,2019-09-16
71,1281,Sell,91,2023-09-30
72,359,Buy,3,2020-10-01
73,1825,Buy,49,2022-11-09
74,479,Sell,17,2020-08-12
75,1688,Sell,62,2023-09-11
76,421,Sell,91,2019-08-13
77,110,Buy,7,2019-05-28
78,1076,Buy,43,2021-10-24
79,773,Sell,95,2023-12-13
80,1680,Buy,41,2019-12-02
81,1517,Sell,36,2021-06-21
82,1063,Sell,80,2023-10-23
83,600,Buy,10,2020-12-18
84,9,Buy,45,2021-08-25
85,648,Sell,66,2020-01-21
86,475,Buy,77,2023-10-13
87,1306,Buy,65,2019-06-07
88,863,Sell,59,2023-07-18
89,733,Buy,38,2024-02-26
90,1500,Buy,96,2019-12-25
91,1797,Sell,62,2022-08-01
92,1422,Buy,97,2019-11-19
93,1570,Buy,60,2019-09-28
94,1618,Buy,92,2019-11-05
95,166,Sell,81,2022-10-11
